cod_tratamiento,tratamiento,cultivo,n,altura_hojas_cm_mean,num_hojas_mean,diametro_cm_mean,longitud_raiz_cm_mean,peso_fresco_g_mean,altura_hojas_cm_sd,num_hojas_sd,diametro_cm_sd,longitud_raiz_cm_sd,peso_fresco_g_sd
T1,INIA SUMAC-YUYAYQUI,Acelga,5,19.7,9.8,12.1,24.86,157.88,1.109,3.271,2.556,2.07,46.117
T1,INIA SUMAC-YUYAYQUI,Cebolla china,5,33.46,11.2,4.35,17.86,79.2,1.297,0.837,0.26,0.856,4.654
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,5,14.46,16.4,20.46,21.64,238.6,1.452,4.037,1.661,1.762,11.349
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,5,12.52,25.4,19.9,22.66,361.2,2.42,3.975,0.797,3.822,21.23
T2,FAO,Acelga,5,22.5,14.0,26.28,25.98,160.8,6.174,3.082,3.716,4.317,60.28
T2,FAO,Cebolla china,5,33.46,11.2,4.35,17.86,79.2,1.297,0.837,0.26,0.856,4.654
T2,FAO,Lechuga crespa,5,16.56,25.8,18.3,20.44,258.8,0.844,1.095,0.964,2.056,51.139
T2,FAO,Lechuga seda,4,12.15,29.0,20.7,17.4,256.0,0.42,2.449,0.424,3.283,25.755
T3,LA MOLINA,Acelga,5,21.68,11.8,28.86,23.52,137.2,1.63,8.106,2.449,5.604,24.57
T3,LA MOLINA,Cebolla china,5,23.98,7.6,2.404,11.92,47.76,0.85,0.548,0.146,0.342,2.355
T3,LA MOLINA,Lechuga crespa,5,15.48,23.6,19.2,21.14,226.2,1.906,3.507,2.409,6.63,16.053
T3,LA MOLINA,Lechuga seda,5,13.76,32.4,22.28,20.2,369.8,0.709,4.827,1.119,6.099,31.839
T4,HIDROPONIKA,Acelga,5,18.94,12.6,24.62,22.92,123.2,3.112,4.775,5.679,4.443,26.09
T4,HIDROPONIKA,Cebolla china,5,19.98,6.0,1.818,10.0,36.24,0.817,0.707,0.141,0.354,2.123
T4,HIDROPONIKA,Lechuga crespa,5,16.34,27.2,21.44,20.4,242.6,1.101,3.271,2.286,1.963,43.506
T4,HIDROPONIKA,Lechuga seda,5,11.74,45.8,18.4,17.54,251.4,0.532,6.301,1.556,1.846,19.476
